Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2011,21,HOU,NL,57,234,221,26,61,10,1,2,12,7,3,5,29,.276,.297,.357,.654,81,79,5,2,5,1,0,4/H,,-9999
2012,22,HOU,NL,147,630,576,80,167,34,4,7,37,33,11,40,74,.290,.340,.399,.740,101,230,8,6,4,4,0,*4/H,AS,-9999
2013,23,HOU,AL,152,672,626,64,177,31,2,5,52,35,13,32,85,.283,.316,.363,.678,89,227,24,2,4,8,5,*4/D,,-9999
2014,24,HOU,AL,158,707,660,85,225,47,3,7,59,56,9,36,53,.341,.377,.453,.830,135,299,20,5,1,5,7,*4/DH,ASMVP-13SS,-9999
2015,25,HOU,AL,154,689,638,86,200,40,4,15,66,38,13,33,67,.313,.353,.459,.812,125,293,17,9,3,6,8,*4/D,ASMVP-10GGSS,-9999
2016,26,HOU,AL,161,717,640,108,216,42,5,24,96,30,10,60,70,.338,.396,.531,.928,155,340,15,7,3,7,11,*4D/H6,ASMVP-3SS,-9999
2017,27,HOU,AL,153,662,590,112,204,39,4,24,81,32,6,58,84,.346,.410,.547,.957,160,323,19,9,1,4,3,*4/DH,ASMVP-1SS,-9999
2018,28,HOU,AL,137,599,534,84,169,29,2,13,61,17,4,55,79,.316,.386,.451,.837,130,241,17,6,3,1,4,*4/DH,ASMVP-13SS,-9999
2019,29,HOU,AL,124,548,500,89,149,27,3,31,74,6,5,41,82,.298,.353,.550,.903,131,275,19,3,1,3,0,*4/DH6,,-9999
2020,30,HOU,AL,48,210,192,32,42,9,0,5,18,2,3,17,39,.219,.286,.344,.629,71,66,5,1,0,0,0,*4,,-9999
2021,31,HOU,AL,146,678,601,117,167,32,1,31,83,5,3,66,91,.278,.350,.489,.839,127,294,9,4,1,6,3,*4/HD,ASMVP-18,-9999
2022,32,HOU,AL,141,604,527,103,158,39,0,28,57,18,1,66,87,.300,.387,.533,.921,161,281,13,10,0,1,2,*4/HD,ASMVP-5SS,-9999
2023,33,HOU,AL,90,410,360,76,112,21,2,17,51,14,2,44,71,.311,.393,.522,.915,151,188,9,5,0,1,0,4/DH,,-9999
13 Yrs,13 Yrs,13 Yrs,13 Yrs,1668,7360,6665,1062,2047,400,31,209,747,293,83,553,911,.307,.364,.471,.834,129,3136,180,69,26,47,43,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,715,647,103,199,39,3,20,73,28,8,54,88,.307,.364,.471,.834,129,305,17,7,3,5,4,,,bat_glossary.shtml#162_avg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
AL (11 yrs),AL (11 yrs),AL (11 yrs),AL (11 yrs),1464,6496,5868,956,1819,356,26,200,698,253,69,508,808,.310,.369,.482,.850,133,2827,167,61,17,42,43,,,-9999
NL (2 yrs),NL (2 yrs),NL (2 yrs),NL (2 yrs),204,864,797,106,228,44,5,9,49,40,14,45,103,.286,.329,.388,.716,95,309,13,8,9,5,0,,,-9999